ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19
reference_59,3.228413614547253,3.6184980883681774,3.5625420964741705,3.622037610765648,3.184783014632225,3.411135790508567,2.6364555001159906,3.0387562843264515,3.620769275285721,inf,3.4667629830170648,2.7363877801159857,3.5136222415371057,3.3698723201698413,3.540073637264643,3.4273886118206978,3.5342953402273944,3.4469564674169075,3.35703879533844,3.4553462224926
reference_60,3.2005382856022977,3.5873866914667394,3.5635449595733855,3.5080796022272596,2.9859632728459866,2.790131364179142,3.266600857867812,3.2064420249539354,3.489009438708499,inf,3.210879387147476,3.4029007708787935,3.333406623731822,3.017827697276924,3.3976957673198336,3.6199160817964255,3.446249871340055,3.1754827421568184,3.306321401663439,2.7172844177186213
reference_61,3.436251023659515,3.566791491767883,3.7318519248146056,3.700497683705139,3.2118117786419984,3.5057154581369723,3.6050806335263252,3.4806762767420296,3.5925168509285688,inf,3.7008642758801034,3.6793524976043703,3.635469202409483,3.527378530520633,3.661346468425231,3.743117796966457,3.626068192192176,3.5656004736018017,3.5267788000225067,3.531267529499388
reference_62,3.304858860521698,3.586045948338032,3.671478863433838,3.5722948395591736,3.089349300452739,3.4093972262527505,3.5154700190013886,3.342161326617061,3.5216216728062633,inf,3.5504128951658385,3.527889897250366,3.6181623504077067,3.4875744192054925,3.556298751391555,3.725820111618376,3.5541417789196794,3.444087124589517,3.3075462672680858,2.760708078016806
reference_63,3.413234962951229,3.8126092163340743,3.752916736745973,3.6306319509431897,3.562113654088994,3.5317067258687205,3.5581901831943137,3.3852151190673547,3.729291556956821,inf,3.685247659587568,3.637262308663221,3.7017154417779405,3.5090508034782264,3.695173266961962,3.7117714058824265,3.616308111796161,3.540146988854437,3.488706267950061,3.529338133657468
reference_64,2.95439753236115,3.2985508832445145,3.134458065032959,3.207436780154228,3.2397522768564224,3.137265088916904,3.2401921422698976,2.8979584206237594,3.2174018424303528,inf,3.1841170243412296,3.1284548777936934,3.2633273906621967,3.0419037625165766,3.10994804848698,3.2312137375195027,3.2202125511661674,3.0867034923022576,3.042498157048082,3.151547402807618
reference_65,3.188518821569443,3.41164281236124,3.404312643173337,3.415910939635456,3.2303560444188117,3.2540593552256296,3.4141938921917796,3.1410578693587423,3.4115160174405577,inf,3.32191936638712,3.3085537416252015,3.3723185130115496,3.2751259031367446,3.3062048647901823,3.6222852603001,3.337374376019461,3.243356983519958,3.2206697523925065,2.9409710782266143
reference_66,2.971869513866867,3.349463409637385,3.224779767353828,3.2490666563008457,3.2401912291177952,3.142527029970984,3.289634448112908,2.9035270320736157,3.2953558521103927,inf,3.173534500477392,3.1165711884430256,3.277725899181754,3.0839268489541647,3.07656643652968,3.3579496544479976,3.1977997370941607,2.991235070556832,3.0468641214551506,3.2042273334040123
reference_67,3.1529664472721817,3.3230109800765995,3.579536401580334,3.474832522005701,3.128497377002729,3.229087351708962,3.4074164396993645,3.2020137224418743,3.4221026957428458,inf,3.3366761758660797,3.3801736191105847,3.4092317751441534,3.3060493078068283,3.4473797208581747,3.5508184474981785,3.4137000309358645,3.093376929479199,3.238340756208373,3.206976208113956
reference_68,3.268252440430079,3.5443717291778465,3.694624370851605,3.6666797965790714,3.2745421413649205,3.408883453927043,3.485188258019536,3.3454132570750383,3.574511830884379,inf,3.5683700830545724,3.52663496850828,3.5012566741431437,3.4374521744534707,3.5858925082353785,3.6441907187840976,3.594863131759296,3.340527270262559,3.409789949576127,3.5384637349970975
reference_69,2.9042523856265547,3.2758459610624318,3.0040876865386963,3.1817439538814547,3.2143802302483917,3.086664520327369,3.1993132339862824,2.8312356365295654,3.1637754269557594,inf,3.1431765327943046,3.0777941130048756,3.1920597350131756,3.0190182531352128,3.0791426658312537,3.1829291466941836,3.1882048684931794,3.0786146542018624,2.966774956160355,3.1480383269225363
reference_70,3.4224137666088796,3.780932521220951,3.6848264348151365,3.5593235148519167,3.460239868593433,3.148458769130109,3.6234148006654774,3.3933140949911014,3.6412092834011487,inf,3.209716221557042,3.584000178969794,3.6034238176786517,3.453990614759285,3.001611356551382,3.8115293955871463,3.0740712051958456,3.472271440097948,3.336447620137089,3.1182713484123528
reference_71,3.1226434732379693,3.6399744483221492,3.5498605235850644,3.4524894919069107,3.106997450519496,2.868849969028626,3.480657030480481,3.2327984362326063,3.524358074957368,inf,3.3640440284584967,3.3309738579796515,3.5383463632250005,2.8215221244377036,3.2752805871128685,3.6403732914918994,3.4310152037018433,3.2209930252848338,3.2242680704367657,2.679438897030462
reference_72,3.302502296812682,3.662388312890954,3.5485602827641376,3.491724547370828,3.182513391816376,3.3435028356778207,3.5316738326437713,3.2470313289484944,3.53506638639994,inf,3.394757217712264,3.4445361886786467,3.4084716512718924,3.366599233652609,3.3966328865008473,3.700010590823576,3.3536109668839837,3.249526877726092,3.29812047868438,3.1197504385471664
reference_73,3.0968301927915984,3.632615679107707,3.6404339274105184,3.455546249265022,2.6302183878708534,2.9350274485973675,3.466435016908624,3.2346608602930096,3.5866248956656666,inf,3.425646104637662,3.4318289264297483,3.5580960985828853,2.820316556182327,3.438535337575668,3.606764421944351,3.397294686860963,3.262721028634336,3.2636326568016627,2.9890444471628728
reference_74,3.0040074318003303,3.5304319108023146,3.476100325405844,3.6060720630585847,3.1035360783646544,3.3874425616302917,3.0205371497125184,3.16931232375405,3.549171421792582,inf,3.470776424629469,3.3379094326582845,3.476490545259067,3.281756728243278,3.460964710412758,3.358521461314588,3.483583462096661,3.3472604208193832,3.2969656593757466,3.4791927885056566
reference_75,3.361148164629937,3.527775789566517,3.5560165471108443,3.5143350453820705,3.336017190300668,3.3001426799042286,3.4528432052527434,3.235787145156447,3.5407954445934298,inf,3.462475987416286,3.3099751322649005,3.5694299674086873,3.233709364833251,3.450116770386701,3.5963862768653874,3.440129307081886,3.494033615327623,3.3123841598952777,3.492804295725727
reference_76,3.489749294583444,3.739028974552787,3.6801877978015334,3.7599378664814336,3.466093935728336,3.5295412035776805,3.306024905406461,3.1300704627543627,3.7729170140776764,inf,3.6768558747185094,3.495547545390967,3.5553920576944433,3.5640864826407985,3.781028125678537,3.4989272973476204,3.6688677670667063,3.76430583093342,3.5792107411917025,3.729220268068129
reference_77,3.2085756603860855,3.518549226162744,3.4346801790521617,3.3764060828910822,3.393836563642574,3.2941463325624816,3.490135953224373,2.932536824652736,3.3803967780011654,inf,3.366730514820154,3.097372825647354,3.4826851795426004,3.270470841690985,3.446381511715262,3.4322754092788696,3.240871512594293,3.338935116894359,2.8973811911961556,3.4973116301736837
reference_78,3.2663175574192524,3.54890932341094,3.399299922050476,3.485896506822586,3.577787903302592,3.42181776831972,3.5378802220281598,3.1728201233236826,3.603654750382733,inf,3.495357941552435,3.380610374353409,3.4277017806116348,3.350047601233192,3.4387635625602337,3.4058084805430413,3.449115464657083,3.5210472320799124,3.304102980563164,3.5643234353756434
reference_79,2.8168622359733377,3.6934891612085687,3.695207190266045,3.491961085255313,3.032113017818433,2.99034641457305,3.4881976794167073,3.270521167565751,3.521903799211078,inf,3.4735696199872153,3.3906718936157234,3.5811352033820474,2.74465795228144,3.536734910721999,3.535186604047409,3.485937114297372,3.420151057303354,3.2543825139476357,3.133999143758247
reference_80,3.4517284343382117,3.7719997440752984,3.464432716369629,3.529497285677719,3.632501030317694,3.5701011990824263,3.6010748843836784,3.352017399137963,3.644048713384867,inf,3.6254502147748493,3.5160561678710938,3.689935480020486,3.438519757704052,3.685094852401708,3.6755651202342507,3.648952497770474,3.5526785061824255,3.4399312500883097,3.6049966312208177
reference_81,3.5920929689621937,3.8423622418796417,3.8643236436274937,3.576305904751877,3.5336458748463606,3.4781270911869746,3.667688906298143,3.443983947879605,3.7023789353395453,inf,3.553601669800795,3.6408684496130816,3.7926737806029287,3.5148519712816224,3.6820303708541,3.7739963503683573,3.6033798758979905,3.6383652951225742,3.3867921041969846,3.740731592204336
reference_82,3.3949075170385434,3.7113543457180675,3.694175922253264,3.25624128744071,3.047190752928902,3.1884832466948843,3.2932377929175574,3.341370930164705,3.459985949710731,inf,3.325068857542827,3.539882700345932,3.607178973565951,3.444761414309941,3.453727098435097,3.674217003624061,3.3545981925156054,3.2677883694060923,3.2585353135855013,3.1411660056985724
reference_83,3.266948759491682,3.589865447189808,3.4114623806107045,2.7656147246603964,3.494065756782532,3.3859559646517927,3.4815392262229437,3.151061619762012,3.5606139932113887,inf,3.3702178853723566,3.33819030547142,3.5522134778434817,3.3042275678804156,3.410052830220899,3.472955140206933,3.069602921706873,3.4890903525599177,3.2360932254971977,3.506785716174317
