ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24,citation_25,citation_26
reference_138,3.4485609309718415,3.5386484278212245,3.2882373269578338,4.036901066383123,2.941437703026152,3.4162326176895204,3.2769764634839493,3.130005183994976,inf,3.5750952105630707,3.231479669879995,3.3958248823631747,3.6072165029954912,3.626152220228462,3.5968227451369077,3.6575644032659813,3.671568698461689,3.1155679046965163,3.4371744746627657,2.416480541229248,3.436586323248148,inf,3.427081781662524,3.668144481758905,3.2592359768955457,3.5187111158021125,3.352171211426258
reference_139,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_140,3.8212938063453374,3.6032393311959887,3.6368110385089287,3.893827353256948,3.3988364452933215,3.636662361756107,3.6172840815050273,3.4211921261495135,inf,3.4912335936874324,3.4848064451401735,3.6745814481823733,3.6635166246715514,3.8048454143824393,3.7005373864286604,3.684747409866534,3.5967211600878497,3.4259904089221913,3.683129384715237,2.929205901443365,3.6202650512873147,inf,3.808955439236816,3.836651825117556,3.4353747757166047,3.7276231177927714,3.3868470425159085
reference_141,3.4566244647367954,3.522163917710679,3.3005143871077007,4.043546833985329,2.9017607090709685,3.438726781687409,3.288655805551615,3.206992159243061,inf,3.548067978646931,3.2229928607716483,3.392288852681962,3.646542903667355,3.6246370828579906,3.6100400809979103,3.6573197226940115,3.665309859813727,3.1584929561814015,3.4313623298129134,2.4182963371276855,3.4278389336674215,inf,3.4600092035210133,3.6687852149096694,3.2825501130517716,3.5231299142272072,3.37030122158289
reference_142,3.4548934983110855,3.545866954753378,3.329092815030179,4.0780100586314205,2.9228909258644102,3.455917319957793,3.3015640778454767,3.2080199193289363,inf,3.5973326145282596,3.2636367506294963,3.4279377441847294,3.656814449265289,3.658855016862831,3.633001171515544,3.6714507496823625,3.711013918735801,3.169226629622999,3.4408145416263975,2.433335781097412,3.4524818552600145,inf,3.4711575157999994,3.7037165588046626,3.2867542487740757,3.534772897094499,3.3845786111583713
reference_143,3.4485609309718415,3.5386484278212245,3.2882373269578338,4.036901066383123,2.941437703026152,3.4162326176895204,3.2769764634839493,3.130005183994976,inf,3.5750952105630707,3.231479669879995,3.3958248823631747,3.6072165029954912,3.626152220228462,3.5968227451369077,3.6575644032659813,3.671568698461689,3.1155679046965163,3.4371744746627657,2.416480541229248,3.436586323248148,inf,3.427081781662524,3.668144481758905,3.2592359768955457,3.5187111158021125,3.352171211426258
reference_144,3.4441046426738926,3.518775932445355,3.303200841456964,4.001735191380978,2.9357862252254963,3.4009503185324372,3.2780424328658113,3.0910646179661554,inf,3.5353034586535457,3.2244327337890533,3.3865672620959546,3.591864290898323,3.601020348658752,3.5725377300538375,3.6225951476139913,3.651469122497989,3.1293284848223295,3.4313330713065557,2.3855233192443848,3.412154208586812,inf,3.46224350812912,3.653756482427659,3.235088860568357,3.4986163670156927,3.3207302057480814
reference_145,3.44609174741173,3.522402763546197,3.317979416506043,4.032167593330383,2.9017540467877385,3.412436662246704,3.2794200740098898,3.151607689581331,inf,3.554269917248542,3.230356359144891,3.406575841299855,3.6326944285461424,3.618711613142853,3.595863552763169,3.643403690888086,3.6703913911588937,3.1448029065575556,3.4272830303804516,2.4016945362091064,3.4160876381111147,inf,3.4536314887928365,3.667239021696102,3.252812150210607,3.49531420870494,3.357317571258545
reference_146,3.4246582165264368,3.523188603187669,3.2813257891017176,4.039146703431606,2.8924377647638324,3.40398177627486,3.260508607601297,3.1340297016302188,inf,3.5655439509555,3.210254232706952,3.3889627460915794,3.6313270045665744,3.6134380735782625,3.58040039626629,3.6358857937903686,3.674412765726827,3.1170743864047243,3.4116675521163655,2.356968402862549,3.414682012704849,inf,3.4273221744292974,3.66443516404523,3.239026133264685,3.493622675982544,3.355283215675831
reference_147,3.44609174741173,3.522402763546197,3.317979416506043,4.032167593330383,2.9017540467877385,3.412436662246704,3.2794200740098898,3.151607689581331,inf,3.554269917248542,3.230356359144891,3.406575841299855,3.6326944285461424,3.618711613142853,3.595863552763169,3.643403690888086,3.6703913911588937,3.1448029065575556,3.4272830303804516,2.4016945362091064,3.4160876381111147,inf,3.4536314887928365,3.667239021696102,3.252812150210607,3.49531420870494,3.357317571258545
