ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12
reference_67,4.326475613499033,4.058003854447937,3.358042575438881,4.444880950611132,3.5305315457033646,4.008465227688428,3.7587635214830404,3.6147062972520003,4.2563167139544005,4.31151056696046,4.124877598296547,3.9650651216369415,3.833573889395142
reference_68,3.9403101832536422,3.852653324172974,4.004973655685425,4.086111672050269,3.59014756358942,3.642049784341467,3.7309219460449228,3.6445587447098307,3.94374717653776,3.8801442329894815,3.747057734203339,3.418833956087085,3.4249863129425053
reference_69,4.140480001911738,3.8979462026640057,3.3668175938866494,4.338033397435762,3.2444199429376774,3.6830696165346346,2.8780740644930365,2.8152443227922452,4.04417959080541,4.028023936608807,3.8454024844853283,3.6072505738495875,3.599630606588459
reference_70,4.050212781331476,3.76204465498724,4.011960698672676,4.153607187982821,3.670671895443101,3.6139070032995324,3.6848108294002535,3.3636379968581216,3.89019746967906,3.8498007081970718,3.6819289023735524,3.523249193695175,3.3277661139751435
reference_71,3.8684635605760738,3.6946486115466235,3.879893562535062,4.029626301383617,3.4014296965521456,3.573982405857744,3.268372074019624,3.359436475893072,3.8400433601502537,3.8508729961086416,3.6777748528818934,3.3909834088645954,3.3945632640877186
reference_72,3.783354469928603,3.6114430473574637,3.9565265296976087,3.848745604309985,3.4362837385238376,3.4443515123225343,3.5253915869144445,3.589396196277876,3.76260232721374,3.723869831778189,3.578689511768174,3.39777941721575,3.2734244154264447
reference_73,3.911782382393045,3.7281422593587465,4.032376504865129,4.063251632701837,3.5452417462718113,3.6314867753380926,3.6306654459946035,3.743055068759259,3.862476459831081,3.8424026266684757,3.6767965396851348,3.4596876009461246,3.456977771732459
reference_74,3.946941234710827,3.6075935049484666,3.9730609105057524,3.8259471692405786,3.5351793412946098,3.471694064072178,3.536196960703777,3.514364439492011,3.7317315221843477,3.729494577403307,3.537511722860036,3.376068419140076,2.8601666568941826
reference_75,4.079795707024771,3.818236122270298,3.5692304886410238,4.245240718410503,3.280573057315882,3.7119204527684255,3.465414189856482,3.4462316988205006,3.9511551083288854,3.901937716283187,3.699739068754721,3.59264509633613,3.5611212760153776
reference_76,3.973009735479625,3.741518489219666,3.9342351294183735,3.94597902026216,3.59631145338852,3.5944610015692127,3.634309425205231,3.718909422357489,3.9124793998963514,3.8682630542008756,3.7481394952106477,3.4043984700057637,3.425706875782967
